"File","Line","Pattern","Code"
"Nalix.Abstractions\IniCommentAttribute.cs","29","throw new","throw new ArgumentException(""Comment cannot be null or white space."", nameof(comment));"
"Nalix.Abstractions\Exceptions\ExceptionClassifier.cs","26","throw new","throw new ArgumentNullException(nameof(ex));"
"Nalix.Abstractions\Networking\Packets\MemoryPacket.cs","30","throw new","set => throw new NotSupportedException(""MemoryPacket header is read-only."");"
"Nalix.Abstractions\Networking\Packets\PacketConcurrencyLimitAttribute.cs","40","throw new","throw new ArgumentOutOfRangeException(nameof(max), max, ""Concurrency max must be greater than 0."");"
"Nalix.Abstractions\Networking\Packets\PacketConcurrencyLimitAttribute.cs","45","throw new","throw new ArgumentOutOfRangeException(nameof(queueMax), queueMax, ""Queue max cannot be negative."");"
"Nalix.Abstractions\Networking\Packets\PacketOpcodeAttribute.cs","48","throw new","throw new ArgumentException(""The opcode value must be an enum value."", nameof(opcode));"
"Nalix.Abstractions\Networking\Packets\PacketOpcodeAttribute.cs","55","throw new","throw new ArgumentOutOfRangeException("
"Nalix.Abstractions\Networking\Sessions\SessionEntry.cs","30","throw new","this.Snapshot = snapshot ?? throw new ArgumentNullException(nameof(snapshot));"
"Nalix.Abstractions\Primitives\Bytes32.cs","49","throw new","throw new ArgumentException(""Source must be at least 32 bytes."", nameof(source));"
"Nalix.Abstractions\Primitives\Bytes32.cs","84","throw new","throw new ArgumentException(""Destination must be at least 32 bytes."", nameof(destination));"
"Nalix.Abstractions\Primitives\Bytes32.cs","159","throw new","throw new FormatException(""The hex string must be exactly 64 characters long."");"
"Nalix.Abstractions\Primitives\Bytes32.cs","169","throw new","throw new FormatException(""Invalid hex character or format."", ex);"
"Nalix.Abstractions\Primitives\Bytes32.cs","177","throw new","throw new FormatException(""Invalid hex character."");"
"Nalix.Codec\DataFrames\PacketBase.cs","93","catch\s*\(\s*Exception","catch (Exception ex) when ("
"Nalix.Codec\DataFrames\PacketBase.cs","103","throw;","throw;"
"Nalix.Codec\DataFrames\PacketBase.cs","155","throw new","=> throw new InvalidOperationException("
"Nalix.Codec\DataFrames\PacketBase.cs","161","throw new","=> throw new SerializationFailureException("
"Nalix.Codec\DataFrames\PacketBase.cs","229","throw new","=> throw new ArgumentException("
"Nalix.Codec\DataFrames\PacketBase.cs","235","throw new","=> throw new ArgumentException("
"Nalix.Codec\DataFrames\PacketBase.cs","261","throw new","=> throw new ArgumentException($""Cannot deserialize {typeof(TSelf).Name}: buffer is empty."");"
"Nalix.Codec\DataFrames\PacketBase.cs","266","throw new","=> throw new SerializationFailureException("
"Nalix.Codec\DataFrames\PacketBase.cs","272","throw new","=> throw new SerializationFailureException("
"Nalix.Codec\DataFrames\PacketRegistry.cs","226","throw new","throw new InternalErrorException($""[PacketRegistry] OpCode collision! {opcode}: {oldName} vs {name}"");"
"Nalix.Codec\DataFrames\PacketRegistry.cs","254","throw new","throw new ArgumentException("
"Nalix.Codec\DataFrames\PacketRegistry.cs","260","throw new","PacketDeserializer? deserializer = Volatile.Read(ref table[header.OpCode]) ?? throw new InvalidOperationException("
"Nalix.Codec\DataFrames\PacketRegistry.cs","293","catch\s*\(\s*Exception","catch (Exception ex) when (ex is ArgumentException or InvalidOperationException or SerializationFailureException)"
"Nalix.Codec\DataFrames\PacketRegistry.cs","317","catch\s*\(\s*Exception","catch (Exception ex) when (ex is ArgumentException or InvalidOperationException or SerializationFailureException)"
"Nalix.Codec\DataFrames\PacketRegistry.cs","333","throw new","?? throw new InvalidOperationException(""PacketRegistry is not built. Call PacketRegistry.Build() after all packet assemblies are loaded."");"
"Nalix.Codec\Extensions\DataReaderExtensions.cs","250","Throw\.","Throw.LengthOutOfRange();"
"Nalix.Codec\Extensions\DataWriterExtensions.cs","118","throw new","throw new NotSupportedException($""Enum size {size} is not supported."");"
"Nalix.Codec\Extensions\EnumExtensions.cs","34","throw new","throw new ArgumentException("
"Nalix.Codec\Extensions\EnumExtensions.cs","72","throw new","throw new NotSupportedException("
"Nalix.Codec\Extensions\EnumExtensions.cs","94","throw new","throw new ArgumentException("
"Nalix.Codec\Extensions\EnumExtensions.cs","132","throw new","throw new NotSupportedException("
"Nalix.Codec\Internal\Memory\SpanOps.cs","97","throw new","=> throw new ArgumentOutOfRangeException(""value"", ""WriteVarInt does not support negative values."");"
"Nalix.Codec\LZ4\LZ4BlockEncoder.cs","99","throw new","throw new ArgumentNullException(nameof(inputBase));"
"Nalix.Codec\LZ4\LZ4BlockEncoder.cs","104","throw new","throw new ArgumentNullException(nameof(outputBase));"
"Nalix.Codec\LZ4\LZ4BlockEncoder.cs","109","throw new","throw new ArgumentNullException(nameof(hashTable));"
"Nalix.Codec\LZ4\LZ4Codec.cs","77","catch\s*\(\s*Exception","catch (Exception ex) when (ExceptionClassifier.IsNonFatal(ex))"
"Nalix.Codec\LZ4\LZ4Codec.cs","80","throw;","throw;"
