Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
06/06/2026 21:41:13,System.Runtime,dotnet.process.memory.working_set (By),Metric,204390400
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,0
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,688944
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,54432
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,148074688
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,0
06/06/2026 21:41:13,System.Runtime,dotnet.assembly.count ({assembly}),Metric,54
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,0
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,59248
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,9016
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,0
06/06/2026 21:41:13,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,151306240
06/06/2026 21:41:13,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,4
06/06/2026 21:41:13,System.Runtime,dotnet.timer.count ({timer}),Metric,28
06/06/2026 21:41:14,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.07755079999999981
06/06/2026 21:41:14,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,16487
06/06/2026 21:41:14,System.Runtime,dotnet.process.memory.working_set (By),Metric,205438976
06/06/2026 21:41:14,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,137
